id,query,annotator 1,annotator 2,annotator 3
9504,anxiety dogs products,2,2,2
20728,bursitis hip treatment,2,2,2
48367,hair mask for dry damaged hair,2,2,2
24595,chair cushion for sciatica pain,2,2,2
6363,acne patches for cystic acne,2,2,2
90975,sciatica pain relief,2,2,2
34265,dog allergy spray,2,2,2
29345,corx acne pimple patch,2,2,2
6371,acne wash,2,2,2
86983,remedy for dog ear infection,2,2,2
41991,foot pain relief pill,2,2,2
64204,lumbar stenosis,2,2,2
6368,acne skin care,2,2,2
6359,acne face wash,2,2,2
12384,back pain chair,2,2,2
50187,hemp for dogs pain relief,2,2,2
86678,reflux relief,2,2,2
6365,acne scar cream,2,2,2
56073,jock itch spray,2,2,2
34444,dog injury ointment,2,2,2
34538,dog shampoo for dry itchy skin,2,2,2
53639,intestinal worms,2,2,2
56198,joint arthritis supplement for dogs,2,2,2
80020,pillows for neck pain,2,2,2
31491,dandruff treatment,2,2,2
23743,cat allergy reducing wipes,2,2,2
6370,acne treatment,2,2,2
92586,shin splints leg pain relief support,2,2,2
99959,swollen face treatment,2,2,2
79197,pet allergy medicine for dogs,2,2,2
74411,nose pore cleaner,2,2,2
41167,flea and tick prevention for dogs,2,2,2
76873,overcome dyslexia,2,2,2
49077,hangover relief,2,2,2
34539,dog shampoo for fleas and sensitive skin,2,2,2
92233,shampoo for hair loss,2,2,2
39127,face cleanser dry skin,2,2,2
103836,toenail fungus treatment,2,2,2
6366,acne scar lightening,2,2,2
91732,sensitive teeth,2,2,2
6356,acne control,2,2,2
48365,hair loss shampoo,2,2,2
14467,bed bug killer,2,2,2
36666,eczema,2,2,2
65222,male anxiety,2,2,2
72039,nail fungus treatment,2,2,2
98538,stress relief,2,2,2
90797,scalp dandruff,2,2,2
34404,dog flea treatment,2,2,2
6367,acne shampoo for men,2,2,2
6362,acne medicine masks,2,2,2
39883,feet wart removal,2,2,2
20607,bunion corrector,2,2,2
92235,shampoo for thinning hair and hair loss,2,2,2
56072,jock itch cream,2,2,2
40655,fish oil acne,2,2,2
103824,toe nail fungus,2,2,2
23805,cat flea pill,2,2,2
49950,heating pads for men back pain large,2,2,2
20606,bunion and bunionette corrector,2,2,2
23807,cat flea treatment,2,2,2
12363,back brace posture corrector,2,2,2
48875,hand swelling reducer,2,2,2
20608,bunion splints for women,2,2,2
48364,hair loss products,2,2,2
92231,shampoo for dogs with sensitive skin,2,2,2
51000,home odor removal,2,2,2
98623,stroke recovery,2,2,2
6360,acne face wash for teens,2,2,2
15198,best way to remove yellow from silver hair,2,2,2
68838,microneedle acne patch,2,2,2
79235,pet itch relief shampoo,2,2,2
96751,spider vein treatment for legs,2,2,2
13792,bathroom urine odor remover,2,2,2
20705,burn stomach fat for women,2,2,2
70204,moisturizing eye drops for dry eyes,2,2,2
53309,inguinal hernia support for men,2,2,2
102981,thyroid support,2,2,2
52261,hydrocolloid acne patches,2,2,2
115666,zertec allergies,2,2,2
48505,halitosis treatment,2,2,2
67731,mens lotion for dry skin,2,2,2
39234,face sunscreen for sensitive skin,2,2,2
66851,medicine for melancholy,2,2,2
55095,itchy scalp treatment,2,2,2
62843,liquid sulfur soap for acne,2,2,2
61121,leech dry flies,2,2,2
36372,earache medicine for adults,2,2,2
73012,neurosis,2,2,2
38890,eye drops for dry eyes,2,2,2
84365,puppy flea treatment 6 weeks,2,2,2
23883,cat smoke deodorizer,2,2,2
58832,knee surgery,2,2,2
94330,sleeping solutions for cold weather,2,2,2
12532,bad smell sponge,2,2,2
101260,teething relief,2,2,2
23855,cat pee deodorizer spray,2,2,2
15060,best cream for neck wrinkles,2,2,2
53308,ingrown hair treatment,2,2,2
79220,pet flea,2,2,2
100444,taking charge of adult adhd,2,2,2
114769,yard mosquito killer,2,2,2
51303,hornworm,2,2,2
16041,bird itch,2,2,2
50179,hemmoroid treatment,2,2,2
83095,pregnant stretch marks prevention,2,2,2
17908,body lotion for aging skin,2,2,2
62057,lice prevention for kids,2,2,2
10529,arthritis gloves women,2,2,2
103822,toe fungus nail polish,2,2,2
48813,hand cream for dry hands,2,2,2
6357,acne creamy wash,2,2,2
17090,blemish spot treatment,2,2,2
91833,seroma treatment,2,2,2
92232,shampoo for dry scalp,2,2,2
70741,mosquito bite remover,2,2,2
105127,treatment for wrinkle,2,2,2
9417,anti itch cream,2,2,2
91970,sewer smell eliminator,2,2,2
92694,shoe odor eliminator,2,2,2
22811,car scratch remover for deep scratches,2,2,2
107126,urine odor remover,2,2,2
101545,termite killer,2,2,2
9363,ant attack,2,2,2
62060,lice shampoo that kills eggs and lice,2,2,2
15117,best lip balm for severely chapped lips,2,2,2
92221,shampoo and conditioner for frizzy hair,2,2,2
113240,womens shoes for arthritis fert,2,2,2
35721,dry skin lotion,2,2,2
19904,broken toe walking boot,2,2,2
98540,stress relief toys,2,2,2
34496,dog pee spray,2,2,2
23856,cat pee deterrent,2,2,2
28444,concussion headband,2,2,2
25307,cherry angioma removal pen,2,2,2
92921,shoulder surgery clothing,2,2,2
74064,no gnats bug spray,2,2,2
25349,chest mucus,2,2,2
79259,pet stain and odor remover,2,2,2
114047,wrinkle line reduction,2,2,2
45284,gifts for swollen legs,2,2,2
100302,tachycardia,2,2,2
35292,drain clog remover,2,2,2
26963,clog remover,2,2,2
31875,dead foot skin,2,2,2
91708,seniors dementia,2,2,2
16527,black fly larvae egg,2,2,2
23872,cat scratch,2,2,2
51533,house plant bug strips,2,2,2
33178,difficult conversations,2,1,2
110552,weight loss,2,1,2
110558,weight loss without caffeine,2,1,2
35656,drugstore allergy sinus,2,1,2
9505,anxiety light,2,2,1
58133,kill mildew,1,2,2
9401,anti diarrhea pills,1,2,2
90974,sciatic pain relief belt,1,2,2
63772,lotion for dry skin,2,1,2
41166,flea and tick prevention for cats,1,2,2
94220,skunk odor remover for house,1,2,2
9438,anti-diarrheal medication,1,2,2
83519,proactive 3 step acne treatment,1,2,2
37822,enzymatic cleaner for dog urine,1,2,2
95362,snore stopper,1,2,2
32098,deep pore cleansing brush head,1,2,2
31777,daylight lamps for depression,1,2,2
48137,gym stuff that will help you lose weight,2,1,2
25634,chin strap for snoring,1,2,2
43455,fungus control,1,2,2
49076,hangover prevention,1,2,2
17213,blood circulation for feet,1,2,2
7218,aids for arthritic hands,1,2,2
20609,bunion straightener,1,2,2
99267,sunscreen for dry skin face,2,1,2
34403,dog flea comb,2,1,2
9578,aphid killer,1,2,2
23804,cat flea comb,2,1,2
74066,no hangover products,2,2,1
70744,mosquito eradicator,1,2,2
92922,shoulder surgery pillow,2,1,2
62058,lice prevention shampoo,2,1,2
79257,pet spray odor eliminator,1,2,2
104258,tordon stump killer,1,2,2
92234,shampoo for oily hair women,1,2,2
98552,stretch marks remover cream,1,2,2
44723,gecko repellent,1,2,2
85230,racoon spray,1,2,2
20700,burn after writing journal,2,1,1
95360,snore away,2,1,1
52032,humidifier noise for baby,2,0,2
74176,noisy jewelry,2,2,0
26823,clergy burnout,2,2,0
41165,flea and tick prevention for cat,1,1,2
93786,siphotrol flea spray for home,1,1,2
8173,allergy bracelets for kids,1,1,2
98539,stress relief pills,1,1,2
10527,arthritic hand gloves,1,1,2
49945,heating pad for cramps,1,1,2
49847,heart worm prevention dogs,1,1,2
65308,mallet finger splint,2,2,0
90741,saw palmetto for women hair loss,1,1,2
41172,flea trap light,1,1,2
8256,aloe gloves for dry hands,1,1,2
87919,roach gel,1,2,1
70227,molded chair,2,2,0
20699,burn after reading this book,2,0,1
19903,broken dreams,2,0,1
57457,key without touching,2,1,0
97544,standing and not falling,2,1,0
60440,lavendar pills anxiety,1,0,2
110233,wax melts stress relief,1,0,2
48318,hair drops for control frizz,1,0,2
16966,blackhead vaccume,1,1,1
48424,hair thinning treatment for women,1,1,1
9418,anti loss keychain,1,1,1
9396,anti aging face serum,1,1,1
8177,allergy to school,2,0,0
90908,schluter stair nosing,2,0,0
52214,hydrasense baby nasal care,1,1,2
70757,mosquito repellent without deet,2,1,0
25143,chebe powder for hair growth,1,0,2
48068,gundry gut restore,1,0,2
20410,bugx insect repellent,1,0,0
37668,enema with plug,1,0,0
9566,apetamin syrup weight gain for woman best gain weight,1,1,2
40431,fire ant killer outdoor,1,1,2
72320,natracure cold therapy socks,1,0,2
69116,milk of magnesia,1,0,0
63923,low carb diet books for diabetes,1,1,0
49112,happi tummi baby gas relief,1,0,0
46164,gnat killer for indoor plants,1,0,2
66914,medline remedy phytoplex,1,0,2
113430,women’s incontinence pad light,1,1,2
16194,biteme not mosquito coil wristband,1,0,0
12019,baby hernia belt,1,2,2
74587,noxema cleansing cream,1,0,0
35651,drug test,1,0,0
44588,gas mask virus protection,1,1,0
115552,zebco bite alert,1,0,0
107530,uterine cancer awareness products,1,1,0
64241,luna sleep aid without melatonin,1,0,0
15989,biore deep pore charcoal daily face wash,1,0,0
83070,preganancy test,1,0,0
39941,female masks for coronavirus protection,1,1,0
34967,doterra throat drops on guard,1,0,0
102036,the grassroot cure,1,0,2
84430,pure encapsulation thyroid support complex,1,0,0
26454,citronella dog collar for barking pet safe,1,1,2
94549,slow n sear,1,0,0
105836,turtle wax scratch remover,1,0,0
107113,urea cream 40 percent for feet,1,0,0
83088,pregnancy test,1,0,0
94328,sleeping pills for adults extra strong,1,1,0
24500,cetaphil face wash normal to oily,1,0,0
101633,"test only, do not order",1,0,0
87256,resuable face mask for virus protection,1,1,1
24105,ccl brace for dogs rear leg,1,2,2
35652,drug test marijuana,1,0,0
93679,simply saline nasal spray,1,0,0
49100,hanskin pore cleansing oil,1,0,0
10916,at home std test for women,1,0,0
78932,peptiva probiotics sleep,1,0,0
37907,equate effervescent cold relief tablets,1,0,2
66060,mary ruth gluten relief enzymes,1,0,0
101806,the anxiety journal,1,0,0
101777,thc drug test,1,0,0
108959,vitamin e oil for skin,1,1,0
50883,holistic bug spray,1,1,2
109971,water lock fermentation,1,0,1
33910,disposable face masks not made in china,1,0,0
49658,head & shoulders soothe and strengthen,1,0,0
39858,febreze odor eliminator laundry,1,0,2
92027,sex without pain,1,0,2
29543,cough drop lollipops for kids,1,1,2
66234,massagers for muscles handheld deep tissue,1,1,2
91684,semi quantitative ovulation test,1,0,0
75276,oiiwak blackhead remover,1,0,2
72267,nasal spray bottles,1,0,0
83060,prednisone for dogs,1,0,0
61455,lemon verbena for crepy skin,1,0,0
79687,physical therapy exercise for hands,1,1,1
8201,almay for sensitive,1,0,0
16176,bissell pet stain remover,1,1,2
56411,judy moody,1,0,0
29545,cough drops ricola honey lemon,1,1,2
46653,goo gone wipes for paint removal,1,0,0
75140,off deep woods insect repellent,1,0,0
39233,face sucker cleaner pores,1,2,2
77271,paintrate,1,0,0
38555,evl test testosterone booster,1,1,2
73024,neutrogena clear pore cleanser/mask,1,0,0
7697,akorn artificial tears ointment,1,0,0
87185,rescue ice detox,1,0,0
69721,mirrolure suspending twitchbait,1,0,0
91813,seresto flea collar small dog,1,0,1
48067,gundry dark spot diminisher,1,0,0
35161,dr herbs cleanse,1,0,0
31165,cya test,1,0,0
68629,micellar water makeup remover,1,0,2
36490,eastwood dent repair kit,1,0,2
79734,picaridin insect repellent,1,0,2
64981,magnification + photophobia glasses,1,0,0
40387,finger extension splint,1,2,2
25797,chorhexidine antiseptic soap,1,1,1
47426,greenstrike monthly replacement mosquito poreventer,1,0,2
42797,frostfire pest repeller,1,0,2
16962,blackhead remover b07smrmywf,1,0,2
68995,midol long lasting relief,1,0,0
84411,pure acetone to remove acrylic nails,1,0,2
2899,21 day fix portion control,1,0,0
111837,window screen repair kit,1,2,2
76549,outdoor chair repair kit,1,2,2
7022,advion cockroach gel bait,1,2,0
7041,aerochamber spacer for inhaler for adults without mask,1,0,0
22960,carbona stain remover ink,1,0,2
108902,visor face shields for virus protection,1,1,0
40032,fertilaid for women,1,2,0
43889,gaia lactation support,1,0,0
79473,philosphy skin products,1,0,0
23088,care touch blood glucose test strips,1,0,0
26799,clearblue pregnancy test,1,0,0
75904,oral b plaque remover toothbrush,1,1,0
115706,zinc oxide ointment,1,0,0
75100,odoban pet odor eliminator,1,1,2
57270,kerah lane razor bump & ingrown hair formula,1,0,0
46715,googan baits bandito bugs,1,0,0
550,06 titan trans oil cooler line not adapter,1,0,0
56710,just one bite ii bars mice and rat killer,1,0,0
9487,antistatic wrist straps,1,0,0
11489,avion roach killer gel,1,0,0
98187,stinkbug deodorant,1,0,0
6866,adolescent treatment planner,1,0,0
73322,nhl masks for coronavirus protection washable,1,0,0
78067,paternity test kit at home,1,0,0
26870,clinical effects hair therapy shampoo,1,0,0
43693,futuro back support for men,1,0,2
52735,ifixit adhesive remover,1,1,2
10319,arm crutch cushions,1,0,0
18583,boric acid suppositories,1,0,0
6331,acetone breathalyzer,1,0,0
38599,excoliating face brush,1,0,0
26821,cleocin antibiotics,1,0,0
50950,homasy cool humidifier,1,0,0
83717,prostate massagger for men,1,0,0
70777,moth pheromone traps,1,0,0
42606,freshkote lubricant eye drops,1,0,0
25312,cherry deodorizer,1,0,0
66163,masks for coronavirus protection turquoise,1,0,0
35653,drug test strips,1,0,0
20378,bug assault salt gun,1,0,0
9425,anti perspirant without aluminum,1,0,0
102531,theater bruise make up kits,1,0,0
10020,aquaphor baby healing ointment,1,0,0
84776,pyrethoid insecticide,1,0,0
10649,asi berry cleanse,1,0,0
115699,zimc oxide ointment,1,0,0
82785,povidone iodine ointment,1,0,0
46326,golcochea varices,1,0,0
57361,ketones test kit,1,0,0
59535,lactaid pills,1,0,1
64207,lume deodoant for private parts,1,0,1
71985,n95 masks for virus protection made in usa medical not kn95,1,0,1
10705,aso ankle brace stabilizer,1,1,2
91695,sen mai posture corrector,1,1,2
57358,ketone testing strips,1,0,0
94470,sling first aid,1,0,0
42581,freon recovery machine,1,1,1
18710,boston rewetting drops,1,0,0
102673,thieves household cleaner,1,0,0
96423,spa sensations,1,0,0
12342,bach rescue remedies,1,0,1
26535,clarisonic deep pore facial cleansing brush head replacement,1,0,0
69775,miss muffet's revenge spider killer,1,0,1
84811,q-grips ear wax remover,1,0,1
79402,phaze scent control,1,0,1
10022,aquaphor ointment body spray,1,0,0
70721,mortrin infant,1,0,0
105396,tropiclean mat pet tangle remover,1,1,2
21001,c-50 blemish night treatment,1,0,0
115076,yohton skin tag repair,1,1,2
64317,lux skin laser hair removal,1,0,2
100007,systane ultra lubricant eye drops,1,0,0
38400,ettinger veterinary internal medicine,1,0,0
26650,clean dump bypass kit,1,0,0
61599,leptitox pills,1,0,0
6176,acai berry cleanse,1,0,1
31250,d mannose powder,1,0,0
66820,medical grade face masks for virus protection,1,0,0
35654,drug tests 5 panel,1,0,0
16200,bitter apple spray for dogs,1,0,0
19611,breakfast bites for your brain,1,0,0
37852,epionce lip treatment,1,0,2
74529,nothins better water stain remover,1,1,2
40059,fetal doppler heartbeat monitor pregnancy,1,0,0
84431,pure encapsulations digestive enzymes ultra,1,0,0
77190,pain bloc 24,1,0,0
20844,butter balm bug,1,0,0
74009,nizoral a-d anti-dandruff shampoo with ketoconazole 1%,1,0,0
41259,flexoplex joint supplement,1,1,1
102951,thumb spica brace,1,1,1
115151,your closet detox tea,1,0,0
58751,kleenix antiviral,1,0,0
39859,febreze pet odor defense 2x fresh scent,1,0,0
28010,colustrum immune tree,1,0,0
17123,blind sting wrap,1,0,0
55266,jabon de azufre con lanolin grisi acne cleanser,1,0,0
87061,renal food canine,1,0,0
75088,od green first aid patch,1,0,0
56853,kaged muscle intra workout,1,0,0
115869,zout stain remover,1,1,2
70167,modus bark control device,1,1,2
15968,biofreeze pain relieving gel roll on,1,1,2
57271,kerasal intensive foot repair ointment,1,0,2
46773,gopher hawk trap,1,0,2
36268,e stim for acupuncture,1,0,0
75559,omnicrom blood pressure,1,0,1
36627,eco defense home pest control spray,1,1,2
37843,epi otic advanced ear cleaner for dogs,1,0,1
106435,ultalife blood pressure,1,0,0
62078,licetex automatic head lice eliminator,1,2,1
82948,powerlix ankle brace compression support sleeve pair,1,0,1
57122,kcup tea digestion,1,0,0
101173,ted anti-embolism stockings knee length,1,0,2
64320,luxebiotics dark circle & puffiness under-eye serum,1,1,2
35102,downy wrinkle releaser,1,1,2
57393,keurig descaling solution,1,1,2
52294,hylands nerve tonic,1,1,0
63060,liver support gaia,1,0,0
35123,dr brandt dark spots no more,1,0,0
95744,soft hands treatment,2,2,2
66233,massagers for muscles,2,2,0
14841,belly firming patch,2,2,1
53383,insect repellent,2,2,2
9365,ant killer,2,2,2
9616,appetite suppressant snacks,2,2,2
107679,vacuum pore cleaner,2,2,2
40593,first aid antibiotic ointment,2,0,2
101473,tennis elbow brace,2,2,2
13711,bathroom deodorizer,2,1,2
53410,insoles with metatarsal pad,2,1,2
114048,wrinkle reducing cream,2,2,2
82647,post surgery head wrap,2,2,2
32415,deodorizers for closets,2,2,2
61139,left thumb brace,2,0,2
69273,mineral oil for skin,2,0,2
57896,kids masks for coronavirus protection,2,0,0
66825,medical masks for coronavirus protection,2,0,0
33922,disposable night guards for teeth grinding,2,2,2
38907,eye mask for dark circles,2,2,2
9437,anti viral soap,2,0,0
9099,angel mask for virus protection,2,0,0
95260,snake bite kit with antivenom,2,2,0
15107,best hyaluronic acid for lips,2,0,2
42871,fruit fly trap,2,2,2
14083,bbt thermometer for ovulation,2,2,2
9451,antibiotic ointment,2,0,2
51385,hot cold wrap for knee,2,2,2
34453,dog laxative for small dogs,2,2,2
100718,tapeworm meds for cats,2,2,2
32756,detox kit,2,0,2
70751,mosquito repellent bracelet,2,2,0
72268,nasal strips,2,0,0
78965,percussion massager,2,0,0
31611,dark spot cream,2,2,2
69274,mineral oil laxative,2,2,2
38929,eye wrinkles cream,2,2,2
39270,facial moisturizer dry skin men,2,2,2
66221,massage roller for neck,2,2,2
62059,lice shampoo,2,2,2
102901,throat spray,2,2,2
92375,shea deep treatment masque,2,0,0
80920,plantar fasciatis brace,2,0,0
82700,posture corrector for men,2,2,2
105276,trim removal kit,2,2,2
75807,open patella knee sleeve,2,0,2
27591,cold compress for face,2,0,2
94307,sleep supplement without melatonin,2,2,0
68929,microwave heat pad for fingers,2,2,2
77193,painless wax,2,0,0
40038,fertility lubricant,2,0,0
75331,ointment for lips,2,0,0
80069,pimple patches for face,2,2,2
39202,face oil cupping,2,0,2
89683,sage for cleansing home,2,1,2
23818,cat furniture deterrent spray,2,1,2
9486,antiseptic wipes individually wrapped,2,2,0
83085,pregnancy lumbar support for car,2,0,2
40666,fish scaler remover,2,1,0
65244,male prostate massaging tool,2,0,0
98550,stretch mark cream,2,2,2
12931,band aid,2,0,0
9447,antibacterial wipes for rear end,2,0,0
9403,anti eye strain glasses,2,0,0
19072,boxing gloves deodorizer,2,0,0
61144,leg brace for dogs,2,0,1
95624,socks for callused feet,2,1,1
72266,nasal rinse salt packet,2,0,0
48373,hair oil smell good,2,0,0
6064,abdominal binder,2,0,0
77123,packing gauze for teeth,2,0,0
18588,borix acid suppositories,2,0,0
79185,pest reject,2,2,2
57907,kids multivitamin chewable for growth,2,0,0
62215,lifting cream for body,2,0,2
36421,earplugs for sleep,2,0,0
33733,disinfecting room spray,2,0,0
107700,vaginial tightening serum,2,1,2
66164,masks for germ protection,2,0,0
57863,kids immunity support gummies,2,0,0
9413,anti grip rug grippers,2,1,0
75661,one pound wrist weights for therapy,2,0,0
32385,dental picks for teeth,2,0,0
40624,first response pregnancy test 3 pack,2,0,0
72659,neck massage with heat,2,0,0
40591,firming moisturizer for face,2,0,1
39186,face masks antiviral,2,0,0
41982,foot mask peeling feet masks,2,0,2
57362,ketosis dietary supplement,2,0,0
67590,mens ed treatment,2,0,2
18994,bowling ball detox machine,2,0,0
48358,hair growth shampoo for men,2,2,2
109833,watch link remover kit,2,0,1
22545,canvas repair kit,2,1,1
78807,penis enhancment,2,2,2
72060,nail polish remover,2,0,2
76084,organic bug yard spray,2,1,2
32084,deep conditioning hair treatment,2,0,2
39280,facial wipes makeup remover,2,0,0
83584,professional tire repair kit,2,0,2
100945,te de piña para bajar de peso,2,0,0
108450,viagra for men,2,0,0
5928,a&d ointment,2,0,0
34345,dog choke collar,2,0,0
33732,disinfecterial wipe,2,0,0
14833,belly band for pregnancy,2,0,1
82691,postpartum belly wrap,2,0,1
93372,silky cotton pads for face,2,0,0
58857,knife repair kit,2,0,1
84034,psychiatric mental health nursing,2,0,1
97020,sports first aid kit,2,0,0
39099,fabric makeup remover,2,0,1
110541,weight gain for dogs,2,0,2
66806,medical antiviral surgical mask,2,0,0
92230,shampoo for coarse hair,2,0,1
15189,best ultrasonic squirrel repeller,2,2,1
33730,disinfectant spray,2,0,0
39737,fat burned,2,2,1
12414,backache nen,2,0,0
22653,car ac smell,2,2,2
70674,morning recovery,2,0,2
85038,quick fix synthetic urine,2,0,2
57177,kegel tightening,2,2,2
57652,kidney cleanse,2,2,2
32470,derma e acne,2,0,1
95628,socks for sweaty feet women,2,2,2
30039,crepey skin treatment,2,0,1
32941,dialysis,2,2,1
92388,shed control for dogs,2,2,1
36471,earwax removal tools,2,2,2
77270,paintless dent repair kit,2,0,2
64596,macbook charger repair,2,2,2
96630,speech therapy materials for autism,2,1,2
6160,ac recovery machine,2,2,2
72373,natural sleep aid without melatonin,2,1,1
59078,kp bump eraser body scrub,2,0,1
21652,callous remover gel,2,0,2
92679,shoe deodorizer,2,1,2
72459,navage nasal care,2,0,2
52077,hunger suppressent,2,2,2
36370,ear wax removal kit,2,0,2
92924,shout stain remover spray,2,1,2
32413,deodorant not antiperspirant for men,2,0,1
74404,nose cleaner for baby,2,0,1
24481,cervical spine pillow,2,1,1
108863,virginal cleaning for women,2,1,1
45903,glass scratch remover,2,2,2
41969,foot and ankle compression,2,1,2
12369,back corrector,2,2,2
43458,funk away odor spray,2,0,1
9485,antiseptic,2,0,0
9427,anti redness moisturizer,2,2,1
33947,disturbed band art,2,0,1
62833,liquid liver detox cleanse,2,2,1
6340,achilles tendon walking boot,2,2,1
67311,men's enlargement device,2,0,2
31565,dark eye circle treatment,2,2,2
78556,peeling face mask for blackheads,2,2,2
68491,metatarsal pad,2,0,1
16047,bird repellent,2,2,1
86133,rechargeable foot callus remover,2,2,2
109756,wart remover,2,2,2
53089,indoor plant pest control,2,2,1
32414,deodorizer bathroom spray,2,2,1
82699,posture corrector,2,2,2
79186,pest repeller,2,2,2
23307,carpet stain remover spray,2,2,2
102694,thin cervical neck brace,2,2,2
89224,rust remover,2,2,2
102734,things that help pregnancy,2,2,1
68492,metatarsal pads,2,2,2
41745,foaming wasp and hornet killer,2,2,2
87047,remove black armpits,2,2,2
70362,monistat care instant itch relief cream,2,2,2
15065,best dog toys to keep them busy,2,2,2
92733,shoes for bad knees women,2,2,2
9421,anti mosquito,2,2,2
12398,back shoulder support brace,2,2,1
96304,sound deadening,2,2,2
48153,gymnema sylvestre for blood sugar,2,2,2
74329,normatech compression recovery,2,0,2
14832,belly band for c section postpartum,2,0,1
84371,puppy joint supplement,2,2,2
9372,antacid,2,2,0
82701,posture corrector for neck support adjustable for women,2,2,2
101244,teeth cleaning for cats,2,2,2
27181,coarse hair treatment,2,2,2
23806,cat flea rx,2,2,1
91770,septic tank treatments,2,1,2
20380,bug bite thing,2,2,1
94114,skin tag remover,2,2,2
104123,tools for tire removal,2,1,0
85139,r top r mango cream for stretch marks,2,1,1
93090,sick puppies,2,2,2
68078,mental health,2,2,2
101105,tear stain remover for french bulldog,2,2,2
81447,plumping lotion for buttocks,2,2,0
70237,mole repeller without poison,2,2,2
9419,anti microbial spray,2,2,0
103885,toilet scrubber that removes rust,2,2,2
27330,coconut oil for hair growth,2,2,1
32148,deet free bug repellant,2,1,1
51435,hot shot kitchen bug killer botanical,2,2,1
79184,pest control ultrasonic repellent,2,2,2
33043,diaper rash,2,1,2
89227,rust treatment,2,2,2
98295,stop the pain dr scott hannen,2,0,0
86410,red light hair growth therapy,2,2,1
72425,natures miracle skunk odor remover,2,0,1
104069,tonsil stone remover,2,2,1
35051,douglas lab vitamins for diabetes,2,0,2
9399,anti barking dog,2,2,2
34278,dog barking control devices outdoor,2,2,2
7001,advanced wound care bandages,2,1,2
22810,car scratch pen remover,2,2,2
36196,dysgraphia,2,2,0
71073,mouse poison,2,2,1
58526,kitchen block off,2,1,0
17214,blood dogs urine,2,1,1
68627,mice proofing,2,2,1
12401,back support,2,2,2
32916,diabetic massager,2,1,2
38589,excedrin tension,2,0,2
10772,associated fluid,2,0,2
9296,ankle pronation brace,2,2,2
50178,hemmoroid shrinking,2,2,2
110497,weed killer,2,2,2
114056,wrist compression brace,2,2,2
46774,gopher repellent ultrasonic,2,0,2
37219,electronic rodent repellent devices,2,2,2
39264,facial hair removal,2,2,2
100396,tag remover skin,2,1,2
20792,business struggle,2,2,2
102643,thiamine injection for humans,2,2,1
33717,dishwasher rack repair,2,2,2
20386,bug repellent bracelet,2,2,2
9446,antibacterial spray,2,1,2
26816,clen air odor block,2,0,1
102954,thumb wrist support brace,2,1,2
90818,scar prevention cuts,2,1,2
31994,decon rat poison,2,2,2
90746,sawyer repellent,2,0,2
103851,toilet aids for disabled and elderly,2,0,2
6065,abdominal exercise equipment,2,0,0
84272,pumice stone for feet,2,0,1
80968,plaque scraper for teeth,2,0,1
102948,thumb compression,2,2,2
109711,warm compress for eyes,2,2,2
17217,blood pressure,2,0,2
79187,pest repeller plug in,2,1,2
82690,postpartum,2,2,0
63059,liver support,2,1,2
82702,posture corrector for women,2,2,2
62817,liquid fence deer & rabbit repellent,2,1,2
